model,mae,rmse,mape
random_forest,23.961362727292727,34.53982049743946,2.015630037229907
linear_regression,29.67970782077472,38.76604001444564,2.510847446058175
seasonal_naive_previous_week,71.13510194602273,99.16062428648438,5.936470742089841
naive_previous_day,73.33245024147728,110.60454988194445,5.992061277797879
